exec_name,block_size,variant,throughput,time_ms,exp,n
cu9_reduction_add_to1_64_1,64,1,64935064.81139,0.039424,8,256
cu9_reduction_add_to1_64_1,64,1,126782884.516502,0.040384,9,512
cu9_reduction_add_to1_64_1,64,1,253766853.649778,0.040352,10,1024
cu9_reduction_add_to1_64_1,64,1,485584217.644627,0.042176,11,2048
cu9_reduction_add_to1_64_1,64,1,986132509.381921,0.041536,12,4096
cu9_reduction_add_to1_64_1,64,1,1199063238.644554,0.06832,13,8192
cu9_reduction_add_to1_64_1,64,1,2914058092.723265,0.056224,14,16384
cu9_reduction_add_to1_64_1,64,1,5970845410.234692,0.05488,15,32768
cu9_reduction_add_to1_64_1,64,1,11729667751.634012,0.055872,16,65536
cu9_reduction_add_to1_64_1,64,1,20665993928.933334,0.063424,17,131072
cu9_reduction_add_to1_64_1,64,1,30647212755.20126,0.085536,18,262144
cu9_reduction_add_to1_64_1,64,1,37059488882.70947,0.141472,19,524288
cu9_reduction_add_to1_64_1,64,1,46858286547.70707,0.223776,20,1048576
cu9_reduction_add_to1_64_1,64,1,54220236311.57429,0.386784,21,2097152
cu9_reduction_add_to1_64_1,64,1,58829443665.21081,0.71296,22,4194304
cu9_reduction_add_to1_64_1,64,1,60636566859.22969,1.383424,23,8388608
cu9_reduction_add_to1_64_1,64,1,57092081875.87467,2.938624,24,16777216
cu9_reduction_add_to1_64_1,64,1,57763871679.799385,5.808896,25,33554432
cu9_reduction_add_to1_64_1,64,1,58127955797.89746,11.545024,26,67108864
cu9_reduction_add_to1_64_1,64,1,58341329129.61839,23.0056,27,134217728
cu9_reduction_add_to1_64_1,64,1,58412585324.9822,45.955072,28,268435456
cu9_reduction_add_to1_128_1,128,1,59701492.424658,0.04288,8,256
cu9_reduction_add_to1_128_1,128,1,133222314.027373,0.038432,9,512
cu9_reduction_add_to1_128_1,128,1,242608031.880587,0.042208,10,1024
cu9_reduction_add_to1_128_1,128,1,493446419.37966,0.041504,11,2048
cu9_reduction_add_to1_128_1,128,1,958801502.752639,0.04272,12,4096
cu9_reduction_add_to1_128_1,128,1,1967717134.796353,0.041632,13,8192
cu9_reduction_add_to1_128_1,128,1,3968992247.589219,0.04128,14,16384
cu9_reduction_add_to1_128_1,128,1,5943122431.517425,0.055136,15,32768
cu9_reduction_add_to1_128_1,128,1,10946018254.940535,0.059872,16,65536
cu9_reduction_add_to1_128_1,128,1,19149135206.046413,0.068448,17,131072
cu9_reduction_add_to1_128_1,128,1,30487532892.707184,0.085984,18,262144
cu9_reduction_add_to1_128_1,128,1,40484309415.99759,0.129504,19,524288
cu9_reduction_add_to1_128_1,128,1,49875189613.119644,0.21024,20,1048576
cu9_reduction_add_to1_128_1,128,1,55856132037.03228,0.375456,21,2097152
cu9_reduction_add_to1_128_1,128,1,59594435292.66613,0.703808,22,4194304
cu9_reduction_add_to1_128_1,128,1,61734686766.57492,1.358816,23,8388608
cu9_reduction_add_to1_128_1,128,1,60806753703.51852,2.759104,24,16777216
cu9_reduction_add_to1_128_1,128,1,61432321782.74768,5.462016,25,33554432
cu9_reduction_add_to1_128_1,128,1,61830971389.4427,10.8536,26,67108864
cu9_reduction_add_to1_128_1,128,1,62122651722.885124,21.60528,27,134217728
cu9_reduction_add_to1_128_1,128,1,62087569367.389435,43.234976,28,268435456
cu9_reduction_add_to1_256_1,256,1,84656084.676317,0.03024,8,256
cu9_reduction_add_to1_256_1,256,1,119492157.482369,0.042848,9,512
cu9_reduction_add_to1_256_1,256,1,248254455.252706,0.041248,10,1024
cu9_reduction_add_to1_256_1,256,1,468178499.02166,0.043744,11,2048
cu9_reduction_add_to1_256_1,256,1,930232558.028723,0.044032,12,4096
cu9_reduction_add_to1_256_1,256,1,1863173207.714508,0.043968,13,8192
cu9_reduction_add_to1_256_1,256,1,3672883771.174119,0.044608,14,16384
cu9_reduction_add_to1_256_1,256,1,6923597099.442565,0.047328,15,32768
cu9_reduction_add_to1_256_1,256,1,13011435818.135693,0.050368,16,65536
cu9_reduction_add_to1_256_1,256,1,18954187904.892212,0.069152,17,131072
cu9_reduction_add_to1_256_1,256,1,28723702320.541237,0.091264,18,262144
cu9_reduction_add_to1_256_1,256,1,39280747674.76808,0.133472,19,524288
cu9_reduction_add_to1_256_1,256,1,47614065970.26543,0.220224,20,1048576
cu9_reduction_add_to1_256_1,256,1,54247165391.08923,0.386592,21,2097152
cu9_reduction_add_to1_256_1,256,1,57341849944.62322,0.731456,22,4194304
cu9_reduction_add_to1_256_1,256,1,56530665468.09448,1.483904,23,8388608
cu9_reduction_add_to1_256_1,256,1,57609001358.47675,2.912256,24,16777216
cu9_reduction_add_to1_256_1,256,1,58103475307.63747,5.774944,25,33554432
cu9_reduction_add_to1_256_1,256,1,58481324938.26758,11.475264,26,67108864
cu9_reduction_add_to1_256_1,256,1,58665696677.87809,22.8784,27,134217728
cu9_reduction_add_to1_256_1,256,1,58674806168.19298,45.749696,28,268435456
cu9_reduction_add_to1_512_1,512,1,83769633.230711,0.03056,8,256
cu9_reduction_add_to1_512_1,512,1,173913043.745422,0.02944,9,512
cu9_reduction_add_to1_512_1,512,1,224877021.288593,0.045536,10,1024
cu9_reduction_add_to1_512_1,512,1,456165359.283467,0.044896,11,2048
cu9_reduction_add_to1_512_1,512,1,871341046.823274,0.047008,12,4096
cu9_reduction_add_to1_512_1,512,1,1814316091.145998,0.045152,13,8192
cu9_reduction_add_to1_512_1,512,1,3580419570.672506,0.04576,14,16384
cu9_reduction_add_to1_512_1,512,1,6518141248.007622,0.050272,15,32768
cu9_reduction_add_to1_512_1,512,1,12449848159.859257,0.05264,16,65536
