exec_name,block_size,variant,throughput,time_ms,exp,n
cu8_reduction_add_64_1,64,1,104031211.055773,0.024608,8,256
cu8_reduction_add_64_1,64,1,192771083.292603,0.02656,9,512
cu8_reduction_add_64_1,64,1,389294403.04521,0.026304,10,1024
cu8_reduction_add_64_1,64,1,842105260.245254,0.02432,11,2048
cu8_reduction_add_64_1,64,1,1566707459.177325,0.026144,12,4096
cu8_reduction_add_64_1,64,1,3196005014.981706,0.025632,13,8192
cu8_reduction_add_64_1,64,1,5577342060.630301,0.029376,14,16384
cu8_reduction_add_64_1,64,1,10940170893.379618,0.029952,15,32768
cu8_reduction_add_64_1,64,1,15159141469.883797,0.043232,16,65536
cu8_reduction_add_64_1,64,1,24395473377.67042,0.053728,17,131072
cu8_reduction_add_64_1,64,1,35068493075.382195,0.074752,18,262144
cu8_reduction_add_64_1,64,1,45867860936.85621,0.114304,19,524288
cu8_reduction_add_64_1,64,1,53411573167.05493,0.19632,20,1048576
cu8_reduction_add_64_1,64,1,58855860320.81972,0.35632,21,2097152
cu8_reduction_add_64_1,64,1,61657730055.974754,0.680256,22,4194304
cu8_reduction_add_64_1,64,1,62004824296.389145,1.352896,23,8388608
cu8_reduction_add_64_1,64,1,58341735437.40749,2.87568,24,16777216
cu8_reduction_add_64_1,64,1,58769763029.199814,5.709472,25,33554432
cu8_reduction_add_64_1,64,1,59061227138.001076,11.362592,26,67108864
cu8_reduction_add_64_1,64,1,59127252215.600784,22.699808,27,134217728
cu8_reduction_add_64_1,64,1,59330745491.148796,45.243904,28,268435456
cu8_reduction_add_128_1,128,1,95124850.437415,0.026912,8,256
cu8_reduction_add_128_1,128,1,185399768.010096,0.027616,9,512
cu8_reduction_add_128_1,128,1,358744391.683882,0.028544,10,1024
cu8_reduction_add_128_1,128,1,773881506.349349,0.026464,11,2048
cu8_reduction_add_128_1,128,1,1420643718.615448,0.028832,12,4096
cu8_reduction_add_128_1,128,1,2785636511.653422,0.029408,13,8192
cu8_reduction_add_128_1,128,1,5844748821.62412,0.028032,14,16384
