N = 1024     | 369088807.845520 0.027744
N = 2048     | 814249359.563734 0.025152
N = 4096     | 1616161633.233488 0.025344
N = 8192     | 3106796107.203041 0.026368
N = 16384    | 6424090392.560192 0.025504
N = 32768    | 12263473069.827251 0.026720
N = 65536    | 22755555394.549431 0.028800
N = 131072   | 32379446666.776947 0.040480
N = 262144   | 57649542541.324661 0.045472
N = 524288   | 84979252564.927811 0.061696
N = 1048576  | 105329477592.702301 0.099552
N = 2097152  | 123466466563.314514 0.169856
N = 4194304  | 43005446632.918625 0.975296
N = 8388608  | 33752301793.634579 2.485344
N = 16777216 | 33432896804.484825 5.018176
N = 33554432 | 33323036611.126392 10.069440
